Distance (um),Average Content of C (wt. %),Average Content of N (wt. %)
57.6,0.592875384,1.796947
58.4,0.592670991,1.8954827
59.2,0.592429666,1.552895233
60,0.592152329,1.674900967
60.8,0.591839935,1.7640718
61.6,0.59149347,1.7171431
62.4,0.591113954,1.8626757
63.2,0.590702438,1.764083167
64,0.590260003,1.961159733
64.8,0.589787758,1.6186136
65.6,0.589286841,1.8578951
66.4,0.588758418,1.8109819
67.2,0.588203681,1.6373578
68,0.587623844,1.829761233
68.8,0.587020148,1.684312333
69.6,0.586393855,1.698353433
70.4,0.585746248,1.745297633
71.2,0.585078631,1.656162967
72,0.584392327,1.6890051
72.8,0.583688676,1.8204191
73.6,0.582969034,1.688945167
74.4,0.582234773,1.613902233
75.2,0.581487279,1.8485416
76,0.580727949,1.867354
76.8,0.579958192,1.951781433
77.6,0.579179428,1.918938267
78.4,0.578393084,1.778180067
79.2,0.577600595,1.698375133
80,0.576803401,1.524696267
80.8,0.576002946,1.9658649
81.6,0.57520068,1.745276967
82.4,0.574398051,1.731216233
83.2,0.573596509,2.087933667
84,0.572797504,1.7828315
84.8,0.572002482,1.6420268
85.6,0.571212886,1.637366067
86.4,0.570430153,1.843854
87.2,0.569655715,1.806277767
88,0.568890995,1.534102467
88.8,0.568137407,1.867293033
89.6,0.567396356,1.764083167
90.4,0.566669232,1.703016233
91.2,0.565957415,1.6936927
92,0.565262268,1.792251133
92.8,0.564585141,1.787516
93.6,0.563927365,1.768739767
94.4,0.563290254,1.975248367
95.2,0.5626751,1.731211067
96,0.562083177,1.975232867
96.8,0.561515736,1.745317267
97.6,0.560974006,1.825079833
98.4,0.560459189,1.407449433
99.2,0.559972464,1.726504867
100,0.559514983,1.623289833
100.8,0.559087871,1.571692133
101.6,0.558692222,1.792208767
102.4,0.558329102,1.848590167
103.2,0.557999547,1.773454233
104,0.55770456,1.5904601
104.8,0.557445112,1.613864
105.6,0.55722214,1.5341531
106.4,0.557036547,1.759360433
107.2,0.5568892,1.7546563
108,0.556780932,1.6233136
108.8,0.556712536,1.595170433
109.6,0.556684769,1.679635067
110.4,0.556698351,1.703048267
111.2,0.55675396,1.566949767
112,0.556852237,1.7453121
112.8,0.55699378,1.4825337
113.6,0.55717915,1.773467667
114.4,0.557408863,1.656143333
115.2,0.557683394,1.665507167
116,0.558003178,1.815668467
116.8,0.558368604,1.6748772
117.6,0.55878002,1.8485478
118.4,0.55923773,1.862654
119.2,0.559741994,1.4965841
120,0.560293029,1.632683633
120.8,0.560891006,1.6701958
121.6,0.561536055,1.51541925
122.4,0.562228258,1.557582833
123.2,0.562967654,1.613874333
124,0.563754238,1.7077493
124.8,0.564587959,1.627977433
125.6,0.565468723,1.6796175
126.4,0.566396392,1.468416133
127.2,0.567370781,1.520036567
128,0.568391663,1.332352767
128.8,0.569458768,1.5106531
129.6,0.570571779,1.712459633
130.4,0.57173034,1.5481818
131.2,0.572934048,1.8344602
132,0.57418246,1.6983927
132.8,0.575475089,1.501285133
133.6,0.576811409,1.632655733
134.4,0.57819085,1.534116933
135.2,0.579612802,1.3839453
136,0.581076615,1.426188467
136.8,0.582581601,1.750006933
137.6,0.58412703,1.6373547
138.4,0.585712136,1.557573533
139.2,0.587336117,1.651406133
140,0.58899813,1.693712333
140.8,0.590697299,1.609206367
141.6,0.592432714,1.520005567
142.4,0.594203428,1.6514702
143.2,0.596008462,1.6748865
144,0.597846805,1.656091667
144.8,0.599717414,1.435591567
145.6,0.601619215,1.477812
146.4,0.603551106,1.5810508
147.2,0.605511955,1.632692933
148,0.607500605,1.562288
148.8,0.60951587,1.3416949
149.6,0.611556539,1.5482004
150.4,0.613621381,1.477834733
151.2,0.615709137,1.595112567
152,0.61781853,1.4402678
152.8,0.61994826,1.543473533
153.6,0.62209701,1.576357
154.4,0.624263443,1.510661367
155.2,0.626446208,1.496573767
156,0.628643937,1.632658833
156.8,0.630855246,1.6842772
157.6,0.633078741,1.496547933
158.4,0.635313016,1.491886167
159.2,0.637556655,1.510692367
160,0.63980823,1.599799133
160.8,0.642066311,1.609208433
161.6,0.644329457,1.322943467
162.4,0.646596224,1.660853667
